Partial,Newly Added,Deleted
free_pcppages_bulk,probe_user_read,check_pred_tree_cb
__setup_str_setup_nointremap,probe_user_write,interval_tree_augment_rotate
inet_csk_get_port,strncpy_from_unsafe_user,dummycon_startup
__setup_hash_setup,strnlen_unsafe_user,setup_res
hugetlb_overcommit_handler,inet_csk_update_fastreuse,tcf_node_dump
ep_loop_check_proc,__setup_load_ramdisk,__kprobes_text_start
__setup_str_setup_disable_smep,__setup_tsx_async_abort_parse_cmdline,__TRACE_SYSTEM_2
hugetlb_sysctl_handler_common,__setup_disable_mtrr_trim_setup,__TRACE_SYSTEM_WB_REASON_FORKER_THREAD
xenbus_grant_ring,__setup_hpet_setup,__TRACE_SYSTEM_WB_REASON_FS_FREE_SPACE
iommu_enable_irq_remapping,__setup_setup_hugepagesz,__TRACE_SYSTEM_WB_REASON_PERIODIC
__inet_inherit_port,__setup_irqfixup_setup,__TRACE_SYSTEM_WB_REASON_BACKGROUND
__setup_checkreqprot_setup,__setup_noirqdebug_setup,__start_mcount_loc
__TRACE_SYSTEM_5,__setup_cmdline_parse_movablecore,__setup_md_setup
netif_napi_add,__setup_hugetlb_default_setup,__setup_int_pln_enable_setup
pci_mmcfg_amd_fam10h,__setup_pciehp_setup,__setup_parse_mtrr_spare_reg
save_microcode_in_initrd_amd,__setup_acpi_irq_nobalance_set,__setup_parse_mtrr_gran_size_opt
intel_pmu_init,__setup_clk_ignore_unused_setup,__setup_nonx32_setup
ftrace_replace_code,__initcall_rsa_init6,__setup_setup_tick_nohz
,,__setup_hugetlb_nrpages_setup
,,__setup_acpi_irq_isa
,,__setup_parse_amd_iommu_options
