Partial,Newly Added,Deleted
hibernate_write_image,mach_make_memory_entry_internal,
mptcp_subflow_add,ifaof_ifpforaddr_select,
if_updown,ifnet_touch_lastupdown,
kdp_raise_exception,ifnet_updown_delta,
rtrequest_common_locked,in6_selectsrc_core_ifa,
vm_mem_bootstrap,,
"IOGeneralMemoryDescriptor::memoryReferenceMap(IOMemoryReference *,_vm_map *,unsigned long long,unsigned long long,unsigned int,unsigned long long *)",,
necp_client_action,,
"IOPolledFileOpen(char const*,unsigned long long,unsigned long long,void *,unsigned long,IOPolledFileIOVars **,OSData **,unsigned char *,unsigned long *)",,
hibernate_machine_init,,
_Xmake_memory_entry_64,,
_X_mach_make_memory_entry,,
_Xmake_memory_entry,,
getattrlist_internal,,
necp_update_client_result,,
commpage_allocate,,
ifaddr_findbestforaddr,,
copy_mbuf,,
pktmnglr_ipfilter_input,,
vm_purgeable_accounting,,
"IOGeneralMemoryDescriptor::memoryReferenceCreate(unsigned int,IOMemoryReference **)",,
mptcp_usr_connectx,,
vm32_make_memory_entry,,
_mach_make_memory_entry,,
mach_make_memory_entry,,
vm32_make_memory_entry_64,,
idt64_debug,,
mach_make_memory_entry_64,,
